County,2016 Votes D,2020 Votes D,2016 Votes R,2020 Votes R
Autaga,5936,7450,18172,19764
Baldwin,18458,18247,72883,76716
Barbour,4871,4772,5454,5605
Bibb,1874,1982,6738,7508
Blount,2156,2627,22859,24595
Bullock,3530,3439,1140,1143
Butler,3726,3953,4901,5448
Calhoun,13242,15118,32865,34964
Chambers,5784,6356,7843,8748
Cherokee,1547,1619,8953,10562
Chilton,2911,3056,15081,16052
Choctaw,3109,3126,4106,4294
Clarke,5749,5730,7140,7310
Clay,1237,1262,5245,5589
Cleburne,684,672,5764,6472
Coffee,4221,5050,15875,16832
Colbert,7312,7057,16746,17311
Conecuh,3080,2951,3420,3435
Coosa,1782,1794,3381,3626
Covington,2387,2717,13267,14579
Crenshaw,1664,1700,4513,4864
Cullman,3798,4454,32989,36804
Dale,4413,5154,13808,14281
Dallas,12836,12228,5789,5523
DeKalb,3622,4271,21405,24744
Elmore,8443,10304,27634,30089
Escambia,4605,4894,9935,10844
Etowah,10442,11487,32353,35343
Fayette,1362,1390,6712,7295
Franklin,2197,2085,9466,10364
Geneva,1525,1592,9994,10844
Greene,4013,3880,838,875
Hale,4775,4687,3173,3190
Henry,2292,2589,5632,6593
Houston,10664,12738,30728,32384
Jackson,3673,3709,16672,19644
Jefferson,156873,180936,134768,138443
Lamar,1036,978,5823,6168
Lauderdale,9952,11872,27899,31578
Lawrence,3627,3544,10833,12266
Lee,21230,27600,34617,42019
Limestone,9468,13510,29067,34337
Lowndes,4883,4968,1751,1835
Macon,7566,7084,1431,1539
Madison,62822,86885,89520,102395
Marengo,5615,5476,5233,5337
Marion,1432,1457,11274,12190
Marshall,4917,5880,29233,33094
Mobile,72186,78754,95116,100605
Monroe,4332,4425,5795,6129
Montgomery,58916,64065,34003,33122
Morgan,11254,13159,37486,39504
Perry,3824,3849,1407,1336
Pickens,3972,4017,5456,5590
Pike,5056,5613,7693,8020
Randolph,2291,2203,7705,8548
Russell,9579,11078,9210,9796
Shelby,22977,33036,73020,79428
St. Clair,5589,7698,31651,36119
Sumter,4746,4639,1581,1598
Talladega,12121,13092,20614,22210
Tallapoosa,5519,5815,13594,14905
Tuscaloosa,31762,37514,47723,50961
Walker,4497,4826,24266,25947
Washington,2374,2253,6042,6554
Wilcox,4339,4036,1742,1826
Winston,872,974,9228,10187
