County,2020 Votes D,2020 Votes R
Santa Clara,587945,203648
Shasta,28889,57894
San Francisco,375630,55988
Riverside,357566,294425
Alameda,602851,131985
Trinity,396,594
Solano,129344,67793
Sacramento,338632,186311
Santa Cruz,111534,26072
Amador,8147,13571
Modoc,1063,2675
Stanislaus,97430,94152
Mariposa,4088,5950
Mono,3998,2504
Del Norte,4656,6434
Ventura,248349,159791
Monterey,107925,42784
Sonoma,153342,40478
San Joaquin,112786,77038
Humboldt,31010,13756
Fresno,188224,160689
Merced,44260,35240
El Dorado,51157,60967
San Luis Obispo,85183,64514
Tehama,8105,16346
Nevada,30860,22059
Santa Barbara,126419,63583
Lake,6874,3955
Imperial,24551,13401
Sierra,730,1142
Madera,22438,28458
Plumas,4465,6247
Tuolumne,11808,17302
Napa,46962,19388
Tulare,64320,75471
Orange,801749,664293
San Mateo,264762,67750
San Diego,948902,589248
Colusa,3114,4399
Marin,112921,20505
Los Angeles,2947568,1107090
Lassen,2772,8798
Butte,49402,47568
Alpine,473,238
Siskiyou,9456,12985
Placer,99585,110859
Contra Costa,407639,148623
Sutter,16961,23864
Kern,84946,94844
Kings,17729,23169
Inyo,4495,4436
San Bernardino,367354,294786
Glenn,3815,6854
Yolo,47504,16128
Yuba,10343,16210
Mendocino,18303,6312
San Benito,17315,10412
Calaveras,9845,16287
